Date,Close
10/1/2012 0:00,55.74
10/2/2012 0:00,55.63
10/3/2012 0:00,55.88
10/4/2012 0:00,56.05
10/5/2012 0:00,56.18
10/8/2012 0:00,56.46
10/9/2012 0:00,56.11
10/10/2012 0:00,55.27
10/11/2012 0:00,55.33
10/12/2012 0:00,54.93
10/15/2012 0:00,55.7
10/16/2012 0:00,56.63
10/17/2012 0:00,57.66
10/18/2012 0:00,57.16
10/19/2012 0:00,56.43
10/22/2012 0:00,55.97
10/23/2012 0:00,55.47
10/24/2012 0:00,54.96
10/25/2012 0:00,55.1
10/26/2012 0:00,55.77
10/31/2012 0:00,56.77
11/1/2012 0:00,57.19
11/2/2012 0:00,56.48
11/5/2012 0:00,57.62
11/6/2012 0:00,58.2
11/7/2012 0:00,57.25
11/8/2012 0:00,55.4
11/9/2012 0:00,54.79
11/12/2012 0:00,54.69
11/13/2012 0:00,54.89
11/14/2012 0:00,54.11
11/15/2012 0:00,54.18
11/16/2012 0:00,54.87
11/19/2012 0:00,56.47
11/20/2012 0:00,55.75
11/21/2012 0:00,55.6
11/23/2012 0:00,56.55
11/26/2012 0:00,54.24
11/27/2012 0:00,54.16
11/28/2012 0:00,55.2
11/29/2012 0:00,54.37
11/30/2012 0:00,54.09
12/3/2012 0:00,53.72
12/4/2012 0:00,53.23
12/5/2012 0:00,52.7
12/6/2012 0:00,52.97
12/7/2012 0:00,52.8
12/10/2012 0:00,52.26
12/11/2012 0:00,51.88
12/12/2012 0:00,52.11
12/13/2012 0:00,52.15
12/14/2012 0:00,52.2
12/17/2012 0:00,52.28
12/18/2012 0:00,52.43
12/19/2012 0:00,52.79
12/20/2012 0:00,52.11
12/21/2012 0:00,52.45
12/24/2012 0:00,52.42
12/26/2012 0:00,51.4
12/27/2012 0:00,51.78
12/28/2012 0:00,52.16
12/31/2012 0:00,53.5
1/2/2013 0:00,53.63
1/3/2013 0:00,55.27
1/4/2013 0:00,54.73
1/7/2013 0:00,54.43
