Date,Close
10/1/2012 16:00:00,36.02
10/2/2012 16:00:00,36.15
10/3/2012 16:00:00,36.57
10/4/2012 16:00:00,36.87
10/5/2012 16:00:00,37.13
10/8/2012 16:00:00,37.15
10/9/2012 16:00:00,36.88
10/10/2012 16:00:00,36.63
10/11/2012 16:00:00,36.87
10/12/2012 16:00:00,36.76
10/15/2012 16:00:00,37.28
10/16/2012 16:00:00,37.8
10/17/2012 16:00:00,38.56
10/18/2012 16:00:00,38.81
10/19/2012 16:00:00,38.19
10/22/2012 16:00:00,38.45
10/23/2012 16:00:00,37.74
10/24/2012 16:00:00,37.77
10/25/2012 16:00:00,38.66
10/26/2012 16:00:00,37.85
10/31/2012 16:00:00,37.87
11/1/2012 16:00:00,38.85
11/2/2012 16:00:00,38.75
11/5/2012 16:00:00,38.66
11/6/2012 16:00:00,38.97
11/7/2012 16:00:00,38.65
11/8/2012 16:00:00,38.27
11/9/2012 16:00:00,39.16
11/12/2012 16:00:00,38.46
11/13/2012 16:00:00,38.41
11/14/2012 16:00:00,37.83
11/15/2012 16:00:00,37.39
11/16/2012 16:00:00,37.25
11/19/2012 16:00:00,38.24
11/20/2012 16:00:00,38.18
11/21/2012 16:00:00,38.3
11/23/2012 16:00:00,39.08
11/26/2012 16:00:00,38.48
11/27/2012 16:00:00,38.12
11/28/2012 16:00:00,38.66
11/29/2012 16:00:00,38.6
11/30/2012 16:00:00,38.66
12/3/2012 16:00:00,38.38
12/4/2012 16:00:00,37.78
12/5/2012 16:00:00,37.21
12/6/2012 16:00:00,37.56
12/7/2012 16:00:00,37.91
12/10/2012 16:00:00,37.87
12/11/2012 16:00:00,37.85
12/12/2012 16:00:00,37.87
12/13/2012 16:00:00,37.71
12/14/2012 16:00:00,37.72
12/17/2012 16:00:00,38.6
12/18/2012 16:00:00,39.32
12/19/2012 16:00:00,39.06
12/20/2012 16:00:00,36.99
12/21/2012 16:00:00,37.02
12/24/2012 16:00:00,37.08
12/26/2012 16:00:00,36.6
12/27/2012 16:00:00,36.7
12/28/2012 16:00:00,36.03
12/31/2012 16:00:00,36.77
1/2/2013 16:00:00,37.5
1/3/2013 16:00:00,37.03
1/4/2013 16:00:00,37.06
1/7/2013 16:00:00,36.94
1/8/2013 16:00:00,37
1/9/2013 16:00:00,37.1
1/10/2013 16:00:00,37.14
1/11/2013 16:00:00,37.03
1/14/2013 16:00:00,37.37
1/15/2013 16:00:00,37.65
1/16/2013 16:00:00,37.82
1/17/2013 16:00:00,38.19
1/18/2013 16:00:00,38.58
1/22/2013 16:00:00,38.43
1/23/2013 16:00:00,38.67
1/24/2013 16:00:00,38.9
1/25/2013 16:00:00,39.12
1/28/2013 16:00:00,39.03
1/29/2013 16:00:00,38.72
1/30/2013 16:00:00,38.89
1/31/2013 16:00:00,38.72
2/1/2013 16:00:00,39.15
2/4/2013 16:00:00,38.49
2/5/2013 16:00:00,38.56
2/6/2013 16:00:00,38.8
2/7/2013 16:00:00,38.98
2/8/2013 16:00:00,39.01
2/11/2013 16:00:00,38.72
2/12/2013 16:00:00,39.02
2/13/2013 16:00:00,37.46
2/14/2013 16:00:00,37.35
2/15/2013 16:00:00,36.92
2/19/2013 16:00:00,36.51
2/20/2013 16:00:00,35.43
2/21/2013 16:00:00,35.36
2/22/2013 16:00:00,34.99
2/25/2013 16:00:00,34.43
2/26/2013 16:00:00,34.63
2/27/2013 16:00:00,35.55
2/28/2013 16:00:00,35.77
3/1/2013 16:00:00,35.85
3/4/2013 16:00:00,36.14
3/5/2013 16:00:00,36.2
3/6/2013 16:00:00,36.14
3/7/2013 16:00:00,36.24
3/8/2013 16:00:00,35.67
3/11/2013 16:00:00,35.64
3/12/2013 16:00:00,35.34
3/13/2013 16:00:00,35.71
3/14/2013 16:00:00,35.73
3/15/2013 16:00:00,34.95
3/18/2013 16:00:00,33.92
3/19/2013 16:00:00,33.21
3/20/2013 16:00:00,33.64
3/21/2013 16:00:00,33.63
3/22/2013 16:00:00,34.04
3/25/2013 16:00:00,33.64
3/26/2013 16:00:00,33.77
3/27/2013 16:00:00,33.63
3/28/2013 16:00:00,34.3
4/1/2013 16:00:00,33.96
4/2/2013 16:00:00,34.22
4/3/2013 16:00:00,33.63
4/4/2013 16:00:00,33.1
4/5/2013 16:00:00,33.55
4/8/2013 16:00:00,33.74
4/9/2013 16:00:00,33.93
4/10/2013 16:00:00,34.08
4/11/2013 16:00:00,34.12
4/12/2013 16:00:00,34.13
4/15/2013 16:00:00,33.17
4/16/2013 16:00:00,33.31
4/17/2013 16:00:00,33.23
4/18/2013 16:00:00,33.27
4/19/2013 16:00:00,33.39
4/22/2013 16:00:00,33.16
4/23/2013 16:00:00,33.53
